"name","description","locationId","number","tonage","rfid"
"FN300001","INJ BPR 01 NISSEI 140T",1,"1","140T","3807293427"
"FN300002","INJ BPR 02 NISSEI 140T",1,"2","140T","3807232259"
"JW220004","INJ BPR 03 JSW 220T",1,"3","220T","3806365395"
"JW220005","INJ BPR 04 JSW 220T",1,"4","220T","3807282643"
"JW220006","INJ BPR 05 JSW 220T",1,"5","220T","3807916899"
"JW220007","INJ BPR 06 JSW 220T",1,"6","220T","3805947347"
"BR200015X","INJ BPR 07 BORCHE 200T",1,"7","200T","3807224003"
"BR200016","INJ BPR 08 BORCHE 200T",1,"8","200T","3806856403"
"FN300009","INJ BPR 09 NISSEI 140T",1,"9","140T","3808472163"
"MT230091","INJ BPR 10 MITSUBISHI 230T",1,"10","230T","3806973283"
"BR320012","INJ BPR 11 BORCHE 320T",1,"11","320T","3804730067"
"BR320013","INJ BPR 12 BORCHE 320T",1,"12","320T","3805876755"
"BR320014","INJ BPR 13 BORCHE 320T",1,"13","320T","3806846547"
"BR200005","INJ BPR 15 BORCHE 200T",1,"15","200T","3807491395"
"FN300016","INJ BPR 16 NISSEI 140T",1,"16","140T","3808091347"
"BR200009","INJ BPR 17 BORCHE 200T",1,"17","200T","3808081683"
"BR200010","INJ BPR 18 BORCHE 200T",1,"18","200T","3808178179"
"BR200011","INJ BPR 19 BORCHE 200T",1,"19","200T","3807409395"
"JW140019","INJ BPR 20 JSW 140T",1,"20","140T","3806504323"
"JW140018","INJ BPR 21 JSW 140T",1,"21","140T","3806766275"
"BR200012","INJ BPR 22 BORCHE 200T",1,"22","200T","3806348115"
"BR200013","INJ BPR 23 BORCHE 200T",1,"23","200T","3806565795"
"BR150008","INJ BPR 24 BORCHE 150T",1,"24","150T","3808512307"
"BR150009","INJ BPR 25 BORCHE 150T",1,"25","150T","3808005027"
"BR150010","INJ BPR 26 BORCHE 150T",1,"26","150T","3807790755"
"BR150011","INJ BPR 27 BORCHE 150T",1,"27","150T","3806529891"
"BR150012","INJ BPR 28 BORCHE 150T",2,"28","150T","3808282755"
"BR200019","INJ BPR 29 BORCHE 200T",2,"29","200T","3807325699"
"FN300030","INJ BPR 30 NISSEI 140T",2,"30","140T","3807959251"
"FN300031","INJ BPR 31 NISSEI 140T",2,"31","140T","3806521779"
"FN300032","INJ BPR 32 NISSEI 110T",2,"32","110T","3807080723"
"FN300033","INJ BPR 33 NISSEI 110T",2,"33","110T","3807005299"
"BR260005","INJ BPR 38 BORCHE 260T",2,"38","260T","3807243299"
"BR320113","INJ BPR 39 BORCHE 320T",2,"39","320T","3807759491"
"BR320111","INJ BPR 40 BORCHE 320T",2,"40","320T","3807459187"
"JW220114","INJ BPR 41 JSW 220T",2,"41","220T","3807609843"
"BR200006","INJ BPR 42 BORCHE 200T",2,"42","200T","3807597011"
"BR320008","INJ BPR 43 BORCHE 320T",2,"43","320T","3807639731"
"BR200025","INJ BPR 44 BORCHE 200T",2,"44","200T","3806417331"
"MT230093","INJ BPR 45 MITSUBISHI 230T",2,"45","230T","3806697491"
"MT230094","INJ BPR 46 MITSUBISHI 230T",2,"46","230T","3807226819"
"JW220113","INJ BPR 47 JSW 220T",2,"47","220T","3808158131"
"JW220112","INJ BPR 48 JSW 220T",2,"48","220T","3807996867"
"BR200007","INJ BPR 49 BORCHE 200T",2,"49","200T","3807671507"
"BR200008","INJ BPR 50 BORCHE 200T",2,"50","200T","3806753347"
"BR200001","INJ BPR 51 BORCHE 200T",2,"51","200T","3807255139"
"BR200009X","INJ BPR 52 BORCHE 200T",2,"52","200T","3807655395"
"BR120002","INJ BPR 53 BORCHE 120T",2,"53","120T","3806430163"
"MT130084","INJ PRE 05 MITSUBISHI 130T",3,"5","130T","3808412803"
"MT130083","INJ PRE 06 MITSUBISHI 130T",3,"6","130T","3807450915"
"MT130901","INJ PRE 07 MITSUBISHI 130T",3,"7","130T","3807809923"
"MT130081","INJ PRE 08 MITSUBISHI 130T",3,"8","130T","3806863363"
"MT130902","INJ PRE 09 MITSUBISHI 130T",3,"9","130T","3806833107"
"MT130079","INJ PRE 10 MITSUBISHI 130T",3,"10","130T","3806788931"
"MT130078","INJ PRE 11 MITSUBISHI 130T",3,"11","130T","3808243363"
"MT130077","INJ PRE 12 MITSUBISHI 130T",3,"12","130T","3806394211"
"MT180901","INJ PRE 13 MITSUBISHI 180T",3,"13","180T","3806536723"
"MT180075","INJ PRE 14 MITSUBISHI 180T",3,"14","180T","3808240275"
"MT180074","INJ PRE 15 MITSUBISHI 180T",3,"15","180T","3808460355"
"BR260001","INJ PRE 19 BORCHE 260T",3,"19","260T","3807213043"
"BR200004","INJ PRE 20 BORCHE 200T",3,"20","200T","3808477779"
"MT280100","INJ PRE 21 MITSUBISHI 280T",3,"21","280T","3807319363"
"MT280099","INJ PRE 22 MITSUBISHI 280T",3,"22","280T","3806548915"
"BR320020","INJ PRE 23 BORCHE 320T",3,"23","320T","3808056307"
"BR320901","INJ PRE 24 BORCHE 320T",3,"24","320T","3806930579"
"BR320114","INJ PRE 25 BORCHE 320T",3,"25","320T","3806450867"
"BR320902","INJ PRE 26 BORCHE 320T",3,"26","320T","3808380947"
"BR260002","INJ PRE 27 BORCHE 260T",3,"27","260T","3808043235"
"BR260003","INJ PRE 28 BORCHE 260T",3,"28","260T","3807353619"
"BR260004","INJ PRE 29 BORCHE 260T",3,"29","260T","3807354595"
"MT230101","INJ PRE 42 MITSUBISHI 230T",4,"42","230T","3806606787"
"MT230102","INJ PRE 43 MITSUBISHI 230T",4,"43","230T","3806720067"
"MT230103","INJ PRE 44 MITSUBISHI 230T",4,"44","230T","3808044979"
"MT230036","INJ PRE 45 MITSUBISHI 230T",4,"45","230T","3808468451"
"MT230105","INJ PRE 46 MITSUBISHI 230T",4,"46","230T","3806467363"
"MT230106","INJ PRE 47 MITSUBISHI 230T",4,"47","230T","3808131891"
"JW220109","INJ PRE 50 JSW 220T",4,"50","220T","3806499667"
"JW220110","INJ PRE 51 JSW 220T",4,"51","220T","3808439635"
"JW220111","INJ PRE 52 JSW 220T",4,"52","220T","3807160083"
"BR150005","INJ PRE 53 BORCHE 150T",4,"53","150T","3807621587"
"BR150006","INJ PRE 54 BORCHE 150T",4,"54","150T","3804977555"
"BR560001","INJ LEA 01 BORCHE 560T",5,"1","560T","3804386163"
"BR560002","INJ LEA 02 BORCHE 560T",5,"2","560T","3807310291"
"BR320109","INJ LEA 03 BORCHE 320T",5,"3","320T","3820178611"
"BR320015","INJ LEA 04 BORCHE 320T",5,"4","320T","3804386259"
"BR320110","INJ LEA 05 BORCHE 320T",5,"5","320T","3807118099"
"BR320102","INJ LEA 06 BORCHE 320T",5,"6","320T","3805072595"
"BR320103","INJ LEA 07 BORCHE 320T",5,"7","320T","3806752787"
"BR320104","INJ LEA 08 BORCHE 320T",5,"8","320T","3816895635"
"BR320099","INJ LEA 09 BORCHE 320T",5,"9","320T","3821544451"
"BR320100","INJ LEA 10 BORCHE 320T",5,"10","320T","3820651427"
"BR320101","INJ LEA 11 BORCHE 320T",5,"11","320T","3807615491"
"BR200024","INJ LEA 12 BORCHE 200T",5,"12","200T","3806362003"
"BR200020","INJ LEA 13 BORCHE 200T",5,"13","200T","3806566371"
"BR200021","INJ LEA 14 BORCHE 200T",5,"14","200T","3807998883"
"BR150001","INJ LEA 15 BORCHE 150T",5,"15","150T","3808446707"
"BR150004","INJ LEA 16 BORCHE 150T",5,"16","150T","3807380163"
"BR150003","INJ LEA 17 BORCHE 150T",5,"17","150T","3806647379"
"BR200023","INJ LEA 18 BORCHE 200T",5,"18","200T","3804834099"
"MT230029","INJ LEA 19 MITSUBISHI 230T",5,"19","230T","3807420947"
"BR500001","INJ LEA 20 BORCHE 500T",5,"20","500T","3806857395"
"BR150002","INJ LEA 21 BORCHE 150T",5,"21","150T","3806898435"
"BS320001","INJ LEA 22 BORCHE 320T",5,"22","320T","3805717795"
"BS320002","INJ LEA 23 BORCHE 320T",5,"23","320T","3807223827"
"BR320105","INJ LEA 24 BORCHE 320T",5,"24","320T","3804980275"
"BR320106","INJ LEA 25 BORCHE 320T",5,"25","320T","3805492979"
"BR320019","INJ LEA 26 BORCHE 320T",5,"26","320T","3805928835"
"BR500002","INJ LEA 27 BORCHE 500T",5,"27","500T","3804319843"
"BR200018","INJ LEA 28 BORCHE 200T",6,"28","200T","3815904899"
"BR200003","INJ LEA 29 BORCHE 200T",6,"29","200T","3820718707"
"BR200017","INJ LEA 30 BORCHE 200T",6,"30","200T","3806077523"
"BR200022","INJ LEA 31 BORCHE 200T",6,"31","200T","3804453107"
"MT230030","INJ LEA 32 MITSUBISHI 230T",6,"32","230T","3820250867"
"MT230035","INJ LEA 33 MITSUBISHI 230T",6,"33","230T","3805080947"
"MT230092","INJ LEA 34 MITSUBISHI 230T",6,"34","230T","3804284627"
"MT230037","INJ LEA 35 MITSUBISHI 230T",6,"35","230T","3820561219"
"MT230090","INJ LEA 36 MITSUBISHI 230T",6,"36","230T","3805464803"
"MT230089","INJ LEA 37 MITSUBISHI 230T",6,"37","230T","3807232899"
"MT230104","INJ LEA 38 MITSUBISHI 230T",6,"38","230T","3806378899"
